web-scraper-order,web-scraper-start-url,pagination,pagination-href,person,person-href,name,image-src,birth,death,place_burried,category,biography,organization/association/group,Awards/bonuses/prizes,contact info,address - table1,address - table2,job - i,job - table
"1525415394-6805","http://www.nplg.gov.ge/ilia/ka/u4322/","4","http://www.nplg.gov.ge/ilia/ka/u4322/4/","ტატუნაშვილი, ანდრია","http://www.nplg.gov.ge/ilia/ka/00009032/","ანდრია ტატუნაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ქუთაისის განყოფილების წევრი (1916-)</li>","null","null","null","null","null","null"
"1525414807-6540","http://www.nplg.gov.ge/ilia/ka/u4324/","2","http://www.nplg.gov.ge/ilia/ka/u4324/2/","ფალავანდიშვილი, ლევან დიმიტრის ძე","http://www.nplg.gov.ge/ilia/ka/00005847/","ლევან დიმიტრის ძე ფალავანდიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების წევრი (1918-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების მუდმივი წევრი (1920-)</li>","null","null","null","null","null","null"
"1525417438-7740","http://www.nplg.gov.ge/ilia/ka/u4320/","9","http://www.nplg.gov.ge/ilia/ka/u4320/9/","როსტომაშვილი, თამარ დავითის ასული","http://www.nplg.gov.ge/ilia/ka/00006320/","თამარ დავითის ასული როსტომაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1916-)</li>","null","null","null","null","null","null"
"1525416621-7368","http://www.nplg.gov.ge/ilia/ka/u4321/","14","http://www.nplg.gov.ge/ilia/ka/u4321/14/","საყვარელიძე, ნიკოლოზ ნარიმანის ძე","http://www.nplg.gov.ge/ilia/ka/00002411/","ნიკოლოზ ნარიმანის ძე საყვარელიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1909-)</li>","null","null","null","null","null","null"
"1525416447-7290","http://www.nplg.gov.ge/ilia/ka/u4321/","19","http://www.nplg.gov.ge/ilia/ka/u4321/19/","სიამაშვილი, ილია არსენის ძე","http://www.nplg.gov.ge/ilia/ka/00014009/","ილია არსენის ძე სიამაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების არმავირის განყოფილების წევრი (1915-)</li>","null","null","null","null","null","null"
"1525414149-6238","http://www.nplg.gov.ge/ilia/ka/u4324/","16","http://www.nplg.gov.ge/ilia/ka/u4324/16/","ფურცელაძე, ისაია იოველის ძე","http://www.nplg.gov.ge/ilia/ka/00002965/","ისაია იოველის ძე ფურცელაძე","themes/bios/images/nophoto0n.jpg","1851","1924  (73 წლის ასაკში)","null","აგრონომი","ისაია ფურცელაძე  სოფელი მერეთიდან იყო/ამ სოფლის მემამულე და მოღვაწე, ჰმართავდა წარმოდგენებს. მისი ხელმძღვანელობით ლიზაჩერქეზიშვილმა პირველად ითამაშა 1885 წ. სიკო ცაგარელის „ხანუმაში“
იყყო სახალხო მასწავლებელი და მეხილეობის მამამთავარი","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1900-1918)</li>","null","null","null","null","null","null"
"1525416873-7483","http://www.nplg.gov.ge/ilia/ka/u4321/","8","http://www.nplg.gov.ge/ilia/ka/u4321/8/","სანაია, ანტონ","http://www.nplg.gov.ge/ilia/ka/00008607/","ანტონ სანაია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სენაკის განყოფილების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525417815-7913","http://www.nplg.gov.ge/ilia/ka/u4319/","6","http://www.nplg.gov.ge/ilia/ka/u4319/6/","ჟღენტი, ნიკო ბეკოს ძე","http://www.nplg.gov.ge/ilia/ka/00013414/","ნიკო ბეკოს ძე ჟღენტი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების წევრი (1917-)</li>","null","null","null","null","null","null"
"1525417548-7790","http://www.nplg.gov.ge/ilia/ka/u4320/","6","http://www.nplg.gov.ge/ilia/ka/u4320/6/","რეხვიაშვილი, მიხეილ","http://www.nplg.gov.ge/ilia/ka/00014439/","მიხეილ რეხვიაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების პეტროვსკის განყოფილების წევრი (1917-)</li>","null","null","null","null","null","null"
"1525414101-6216","http://www.nplg.gov.ge/ilia/ka/u4324/","11","http://www.nplg.gov.ge/ilia/ka/u4324/11/","ფირცხალაიშვილი, მოსე ალექსანდრეს ძე","http://www.nplg.gov.ge/ilia/ka/00006387/","მოსე ალექსანდრეს ძე ფირცხალაიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების წევრი (1917-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1915-1916)</li>","null","null","null","null","null","null"
