web-scraper-order,web-scraper-start-url,pagination,pagination-href,person,person-href,name,image-src,birth,death,place_burried,category,biography,organization/association/group,Awards/bonuses/prizes,contact info,address - table1,address - table2,job - i,job - table
"1525501199-7104","http://www.nplg.gov.ge/ilia/ka/u4328/","19","http://www.nplg.gov.ge/ilia/ka/u4328/19/","შიხინოვი, ალიოზ ბაგდანის ძე","http://www.nplg.gov.ge/ilia/ka/00003754/","ალიოზ ბაგდანის ძე შიხინოვი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","პროვიზორი","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1902-1911)</li>","null","null","null","null","null","null"
"1525503612-8208","http://www.nplg.gov.ge/ilia/ka/u4325/","6","http://www.nplg.gov.ge/ilia/ka/u4325/6/","ქარსაულიძე, იოსებ","http://www.nplg.gov.ge/ilia/ka/00014082/","იოსებ ქარსაულიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525503207-8025","http://www.nplg.gov.ge/ilia/ka/u4325/","17","http://www.nplg.gov.ge/ilia/ka/u4325/17/","ქობულაშვილი, ნინო გიორგის ასული","http://www.nplg.gov.ge/ilia/ka/00014071/","ნინო გიორგის ასული ქობულაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525503805-8298","http://www.nplg.gov.ge/ilia/ka/u4325/","2","http://www.nplg.gov.ge/ilia/ka/u4325/2/","ქავთარაძე, ანდრია ლევანის ძე","http://www.nplg.gov.ge/ilia/ka/00002985/","ანდრია ლევანის ძე ქავთარაძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ფოთის განყოფილების ნამდვილი წევრი (1913-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ფოთის განყოფილების გამგეობის წევრი (1915-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ფოთის განყოფილების თავმჯდომარის ამხანაგი (1916-1916)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1902-)</li>","null","null","null","null","null","null"
"1525499380-6266","http://www.nplg.gov.ge/ilia/ka/u4330/","4","http://www.nplg.gov.ge/ilia/ka/u4330/4/","ცენტერაძე, სამსონ გიორგის ძე","http://www.nplg.gov.ge/ilia/ka/00004177/","სამსონ გიორგის ძე ცენტერაძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბაქოს განყოფილების წევრი (1909-1912)</li>","null","null","null","null","null","null"
"1525501527-7254","http://www.nplg.gov.ge/ilia/ka/u4328/","9","http://www.nplg.gov.ge/ilia/ka/u4328/9/","შარაშიძე, ერმილე დავითის ძე","http://www.nplg.gov.ge/ilia/ka/00003637/","ერმილე დავითის ძე შარაშიძე","data/bios/persons/0000/00003637/photo0n.jpg","1869","30 ნოემბერი, 1939  (70 წლის ასაკში)","null","პედაგოგი","ერმილე შარაშიძე დაიბადა 1869 წელს ჩოხატაურის რაიონის სოფელ დაბლა–ციხეში. ოზურგეთის საქალაქო სასწავლებლის კურსის დასრულების შემდეგ ხონის საოსტატო სემინარიაში განაგრძო სწავლა, მაგრამ ამ სასწავლებლის დირექტორთან კონფლიქტის გამო იძულებული გახდა ბოლო კურსიდან სწავლა მიეტოვებინა.
    1888 წელს ერმილემ საქალაქო და სამრევლო სკოლების მასწავლებლობის უფლების მოსაპოვებლად ჩააბარა გამოცდები და ზუგდიდის მაზრაში დაიწყო მასწავლებლად მუშაობა. მუშაობდა ჯერ სოფელ კორცხელში, შემდეგ წალენჯიხაში და ბოლოს ზუგდიდის საქალაქო სასწავლებელში. ეს ის წლებია როცა კავკასიის სასწავლო ოლქის მზრუნველის განკარგულებით სამეგრელოს სკოლებიდან ქართული ენის განდევნას ლამობდნენ. სწორედ ამ პერიოდს დაემთხვა ერმილე შარაშიძის მოღვაწეობა ზუგდიდის მაზრაში. სოფელ კორცხელში მისი მასწავლებლობის დროს, მისი ინიციატივითა და უშუალო მონაწილეობით აგებული იქნა სკოლის ახალი შენობა.
    ერმილე შარაშიძის მოღვაწეობამ თვალსაჩინო კვალი დატოვა სოფელ წალენჯიხაშიც. 1891–1898 წლებში  განსაკუთრებული და მნიშვნელოვანია ერმილეს ღვაწლი ზუგდიდის საქალაქო სკოლაში. მას სახალხო მასწავლებელ სტეფანე გაგუასთან ერთად დიდი გამათვითცნობიერებელი მუშაობა აქვს ჩატარებული ამ თითქმის გადაგვარების გზაზე დამდგარ სკოლაში.
    1899 წელს ერმილე მშობლიურ სოფელ დაბლა–ციხეში ბრუნდება. აქ თავის ძმა ალექსანდრესთან ერთად ორკლასიან კერძო სასწავლებელს ხსნის, რომელსაც ძმები საკუთარი მამულის შემოსავლით ინახავდნენ. სკოლას ჰქონდა სამეურნეო განყოფილება და ადგილობრივ მოსახლეობას დიდ დახმარებას უწევდა აგრომინიმუმის შესწავლაში და მის პრაქტიკულ გამოყებენაში.
    1903 წლიდან ბათუმის ქალაქის თვითმმართველობამ ერმილე შარაშიძე ბათუმის მე–2 ქართული სკოლის გამგედ მიიწვია. დაბლა ციხის სასწავლებელი ერმილემ ძმას გადააბარა, თვითონ კი ბათუმში წავიდა და სკოლა ჩაიბარა. მას ფართო აგიტაციის ჩატარება უხდებოდა აჭარელთა შორის ეროვნული თვითშეგნების დასანერგად და მათი კულტურის დონის ასამაღლებლად. აღსანიშნავია ისიც, რომ ამ ქართულ სკოლასთან, რომელსაც მაშინ ""ქართველთა შორის წერა–კითხვის გამავრცელებელი საზოგადოება"" მფარველობდა, ერმილეს ინიციატივით და ხელმძღვანელობით დაარსდა სპეციალური განყოფილება აჭარელი მოზრდილი ახალგაზრდებისთვის, სადაც წერა–კითხვის უცოდინარნი იყვნენ ჩაბმული. ცხადია, მოზრდილთა განათლების ამგვარი ტიპის განყოფილება იმ პერიოდში ახალი მოვლენა იყო და ბათუმის სინამდვილეში კი ის პირველი კულტურული კერა, რომელსაც თანაგრძნობით ეკიდებოდნენ მოწინავე ქართველი მოღვაწეები.
    ამგვარი კეთილსინდისიერი მუშაობით და მოსწავლეთა მიმართ გულისხმიერებით ერმილემ დიდი სიყვარული და პატივისცემა დაიმსახურა. არ ემადლიერებოდა მხოლოდ მეფი მთავრობა. გაძლიერებულმა რეაქციამ ერმილე შარაშიძეს სამაგიერო მიუზღო. 1906 წელს ქართველი ხალხის ჯალათმა ალიხანოვ–ავარსკიმ გადააწვევინა სოფელ დაბლა–ციხეში არსებული ძმები შარაშიძეების აგრონომიული სასწავლებელი.
    ერმილე შარაშიძემ საქართველოში საბჭოთა ხელისუფლების დამყარების შემდეგაც ორი ათეული წელი იმუშავა საბჭოთა სკოლაში. სიცოცხლის ბოლო წლებში იგი დედაქალაქში გადავიდა საცხოვრებლად და თბილისის ერთ–ერთ საშუალო სკოლაში მასწავლებლობდა.
    ერმილე შარაშიძე გარდაიცვალა ღრმად მოხუცებული 1939 წლის 30 ნოემბერს.","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბათუმის განყოფილების წევრი (1910-1912)</li>","null","null","null","null","null","null"
"1525500983-7005","http://www.nplg.gov.ge/ilia/ka/u4328/","11","http://www.nplg.gov.ge/ilia/ka/u4328/11/","შარმაზანაშვილი, ანდრია დავითის ძე","http://www.nplg.gov.ge/ilia/ka/00014193/","ანდრია დავითის ძე შარმაზანაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525501671-7321","http://www.nplg.gov.ge/ilia/ka/u4328/","6","http://www.nplg.gov.ge/ilia/ka/u4328/6/","შამათავა, ილიკო","http://www.nplg.gov.ge/ilia/ka/00007510/","ილიკო შამათავა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ფოთის განყოფილების ნამდვილი წევრი (1918-)</li>","null","null","null","null","null","null"
"1525500048-6573","http://www.nplg.gov.ge/ilia/ka/u4329/","24","http://www.nplg.gov.ge/ilia/ka/u4329/24/","ჩუბინიძე, მიხეილ","http://www.nplg.gov.ge/ilia/ka/00011144/","მიხეილ ჩუბინიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ყვირილას განყოფილების წევრი (1915-)</li>","null","null","null","null","null","null"
"1525501805-7383","http://www.nplg.gov.ge/ilia/ka/u4328/","3","http://www.nplg.gov.ge/ilia/ka/u4328/3/","შავლახაშვილი, პეტრე სოლომონის ძე","http://www.nplg.gov.ge/ilia/ka/00006450/","პეტრე სოლომონის ძე შავლახაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1908-)</li>","null","null","null","null","null","null"
