web-scraper-order,web-scraper-start-url,pagination,pagination-href,person,person-href,name,image-src,birth,death,place_burried,category,biography,organization/association/group,Awards/bonuses/prizes,contact info,address - table1,address - table2,job - i,job - table
"1525496096-5250","http://www.nplg.gov.ge/ilia/ka/u4334/","6","http://www.nplg.gov.ge/ilia/ka/u4334/6/","ხარჩილავა, თომა","http://www.nplg.gov.ge/ilia/ka/00005109/","თომა ხარჩილავა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ზუგდიდის განყოფილების ნამდვილი წევრი (1913-)</li>","null","null","null","null","null","null"
"1525496693-5524","http://www.nplg.gov.ge/ilia/ka/u4333/","9","http://www.nplg.gov.ge/ilia/ka/u4333/9/","ჭელიძე, გრიგოლ","http://www.nplg.gov.ge/ilia/ka/00014391/","გრიგოლ ჭელიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525496858-5601","http://www.nplg.gov.ge/ilia/ka/u4333/","6","http://www.nplg.gov.ge/ilia/ka/u4333/6/","ჭანტურია, დიმიტრი","http://www.nplg.gov.ge/ilia/ka/00004543/","დიმიტრი ჭანტურია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სოხუმის განყოფილების წევრი (1914-)</li>","null","null","null","null","null","null"
"1525497332-5819","http://www.nplg.gov.ge/ilia/ka/u4332/","7","http://www.nplg.gov.ge/ilia/ka/u4332/7/","წიკლაური, ნიკოლოზ თევდორეს ძე","http://www.nplg.gov.ge/ilia/ka/00014372/","ნიკოლოზ თევდორეს ძე წიკლაური","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525493774-4368","http://www.nplg.gov.ge/ilia/ka/u4335/","25","http://www.nplg.gov.ge/ilia/ka/u4335/25/","ჯოჯუა, იოსებ","http://www.nplg.gov.ge/ilia/ka/00005592/","იოსებ ჯოჯუა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ტუაფსეს განყოფილების ნამდვილი წევრი (1916-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების  წევრი (1914-)</li>","null","null","null","null","null","null"
"1525497321-5814","http://www.nplg.gov.ge/ilia/ka/u4332/","7","http://www.nplg.gov.ge/ilia/ka/u4332/7/","წილოსანი, ივანე ალექსანდრეს ძე","http://www.nplg.gov.ge/ilia/ka/00004315/","ივანე ალექსანდრეს ძე წილოსანი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბათუმის განყოფილების წევრი (1915-)</li>","null","null","null","null","null","null"
"1525494721-4690","http://www.nplg.gov.ge/ilia/ka/u4335/","6","http://www.nplg.gov.ge/ilia/ka/u4335/6/","ჯანაშვილი, იოსებ","http://www.nplg.gov.ge/ilia/ka/00005445/","იოსებ ჯანაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების წევრი (1917-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების წევრი (1914-)</li>","null","null","null","null","null","null"
"1525494861-4737","http://www.nplg.gov.ge/ilia/ka/u4335/","4","http://www.nplg.gov.ge/ilia/ka/u4335/4/","ჯავრიშვილი, ლავრენტი","http://www.nplg.gov.ge/ilia/ka/00005329/","ლავრენტი ჯავრიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების  ბაქოს განყოფილების დამხმარე წევრი (1888-)</li>","null","null","null","null","null","null"
"1525495407-4932","http://www.nplg.gov.ge/ilia/ka/u4334/","25","http://www.nplg.gov.ge/ilia/ka/u4334/25/","ხურციძე, ვლადიმერ კონსტანტინეს ძე","http://www.nplg.gov.ge/ilia/ka/00005401/","ვლადიმერ კონსტანტინეს ძე ხურციძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ვანის განყოფილების წევრი (1915-)</li>","null","null","null","null","null","null"
"1525493745-4358","http://www.nplg.gov.ge/ilia/ka/u4335/","27","http://www.nplg.gov.ge/ilia/ka/u4335/27/","ჯღამია, ნიკო","http://www.nplg.gov.ge/ilia/ka/00005604/","ნიკო ჯღამია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების  სოხუმის განყოფილების წევრი (1913-)</li>","null","null","null","null","null","null"
"1525494786-4713","http://www.nplg.gov.ge/ilia/ka/u4335/","5","http://www.nplg.gov.ge/ilia/ka/u4335/5/","ჯალაღანია, ერისტო","http://www.nplg.gov.ge/ilia/ka/00008793/","ერისტო ჯალაღანია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სენაკის განყოფილების ნამდვილი წევრი (1919-)</li>","null","null","null","null","null","null"
