web-scraper-order,web-scraper-start-url,title,issue number,date,year,publisher,desc,owner,collection,pdf link,pdf link-href
1524733448-192,http://dspace.nplg.gov.ge/handle/1234/161560,ეშმაკის მათრახი N31,N31,18-May-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N31.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161560/1/Eshmakis_Matraxi_1908_N31.pdf
1524733473-204,http://dspace.nplg.gov.ge/handle/1234/161522,ეშმაკის მათრახი N19,N19,23-Feb-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N19.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161522/1/Eshmakis_Matraxi_1908_N19.pdf
1524733446-191,http://dspace.nplg.gov.ge/handle/1234/161565,ეშმაკის მათრახი N32,N32,25-May-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N32.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161565/1/Eshmakis_Matraxi_1908_N32.pdf
1524733407-172,http://dspace.nplg.gov.ge/handle/1234/228907,ეშმაკის მათრახი N11,N11,1-Feb-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N11.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228907/1/Eshmakis_Matraxi_1920_N11.pdf
1524733489-212,http://dspace.nplg.gov.ge/handle/1234/161405,ეშმაკის მათრახი N11,N11,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N11.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161405/1/Eshmakis_Matraxi_1907_N11.pdf
1524733485-210,http://dspace.nplg.gov.ge/handle/1234/161409,ეშმაკის მათრახი N13,N13,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N13.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161409/1/Eshmakis_Matraxi_1907_N13.pdf
1524733422-179,http://dspace.nplg.gov.ge/handle/1234/161609,ეშმაკის მათრახი N1,N1,1-Mar-1915,1915,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1915_N1.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161609/1/Eshmakis_Matraxi_1915_N1.pdf
1524733389-163,http://dspace.nplg.gov.ge/handle/1234/228920,ეშმაკის მათრახი N20,N20,4-Apr-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N20.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228920/1/Eshmakis_Matraxi_1920_N20.pdf
1524733477-206,http://dspace.nplg.gov.ge/handle/1234/161505,ეშმაკის მათრახი N17,N17,27-Jan-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N17.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161505/1/Eshmakis_Matraxi_1908_N17.pdf
1524733465-200,http://dspace.nplg.gov.ge/handle/1234/161532,ეშმაკის მათრახი N23,N23,23-Mar-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N23.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161532/1/Eshmakis_Matraxi_1908_N23.pdf
1524733405-171,http://dspace.nplg.gov.ge/handle/1234/228908,ეშმაკის მათრახი N12,N12,8-Feb-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N12.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228908/1/Eshmakis_Matraxi_1920_N12.pdf
1524733508-221,http://dspace.nplg.gov.ge/handle/1234/161392,ეშმაკის მათრახი N2,N2,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N2.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161392/1/Eshmakis_Matraxi_1907_N2.pdf
1524733397-167,http://dspace.nplg.gov.ge/handle/1234/228915,ეშმაკის მათრახი N16,N16,7-Mar-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N16.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228915/1/Eshmakis_Matraxi_1920_N16.pdf
1524733471-203,http://dspace.nplg.gov.ge/handle/1234/161524,ეშმაკის მათრახი N20,N20,2-Mar-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N20.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161524/1/Eshmakis_Matraxi_1908_N20.pdf
