issue url,issue title,issue number,issue date,issue publisher,issue description,issue owner,issue collection,issue pdf url,article url,article publication,article title,article authors,article year,article issue number,article page number,article description,article MFN,article ანოტაცია,article გეოგ დასახელება,article თემატიკა,article მოხსენიებული პირები,article ორგანიზაცია,article პერსონალია,article საკვანძო სიტყვები,article ფოტოები,article მატიანის რუბრიკა
http://dspace.nplg.gov.ge/handle/1234/161398,ეშმაკის მათრახი N7,N7,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N7.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,"დეპეშები : (ლიკლიკაძის სააგენტო). ლანჩხუთიდან, სად. სუმბათოვოდან, ოზურგეთიდან, ბათუმიდან, სოხუმიდან, ჭიათურიდან და შემოქმედიდან",,1907,N7,გვ.7-8,"",367774,ცნობები რეაქციის გაძლიერების შესახებ. იუმორი ვექილ გვაზავაზე,,კორესპონდენციები.,გვაზავა (ვექილი).,,,,,
http://dspace.nplg.gov.ge/handle/1234/161400,ეშმაკის მათრახი N8,N8,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N8.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,ვასო ურუშაძე : [ნეკროლოგი],,1907,N8,გვ.1,"",367782,ასოთამწყობის და რევოლუციონერის ვ. ურუშაძის გარდაცვალების გამო,,რევოლუცია; ბეჭდვითი საქმე.,,,ურუშაძე ვასო.,რევოლუციონერები; ასოთამწყობები.,ვასო ურუშაძე,
http://dspace.nplg.gov.ge/handle/1234/161400,ეშმაკის მათრახი N8,N8,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N8.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,ოზურგეთიდან ; ფოთიდან ; ლანჩხუთიდან : (ლიკლიკაძის სააგენტოდან),,1907,N8,გვ.8,დეპეშები,367943,,,კორესპონდენციები.,,,,,,
http://dspace.nplg.gov.ge/handle/1234/161408,ეშმაკის მათრახი N12,N12,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N12.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,ორჭოფობა თუ ორ სკამზე ჯდომა : [იუმორი],"[მგელაძე, ალექსანდრე]",1907,N12,გვ.3-4,"",368101,,,იუმორი.,,,,,,
http://dspace.nplg.gov.ge/handle/1234/161392,ეშმაკის მათრახი N2,N2,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N2.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,სიზმრის ახსნა : [იუმორით],,1907,N2,გვ.4-5,"",367523,,,იუმორი.,,,,,,
http://dspace.nplg.gov.ge/handle/1234/161390,ეშმაკის მათრახი N1,N1,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N1.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,ექიმი: - თქვენ არ... : [კარიკატურა ოქტიაბრისტზე],,1907,N1,გვ.5,"",367469,,,პოლიტიკური პარტიები; ხელოვნება; კარიკატურა.,,,,,,
http://dspace.nplg.gov.ge/handle/1234/161394,ეშმაკის მათრახი N4,N4,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N4.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,სიზმარი ფედერალისტისა : [იუმორისტული ლექსი],"კალანდაძე, ნესტორ",1907,N4,გვ.4-5,"დართული აქვს ო. შმერლინგის კარიკატურა ""ფედერალისტის სიზმარი""",367638,,,პოლიტიკური პარტიები; მხატვრული ლიტერატურა; პოეზია.,,,,,,
http://dspace.nplg.gov.ge/handle/1234/161404,ეშმაკის მათრახი N10,N10,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N10.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,გამოიცანით ვინ არის? ; გამოიცანით ვის მიანდობენ? : [იუმორი],შაშლიკი,1907,N10,გვ.8,"",368038,,,იუმორი.,,,,,,
http://dspace.nplg.gov.ge/handle/1234/161392,ეშმაკის მათრახი N2,N2,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N2.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,დუმის არჩევნები თფილისში : [კარიკატურა],"შმერლინგი, ოსკარ",1907,N2,გვ.5,"",367525,,,ხელოვნება; კარიკატურა; არჩევნები.,,,,,,
http://dspace.nplg.gov.ge/handle/1234/161405,ეშმაკის მათრახი N11,N11,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,https://press.vizhack.ge/pdfs/Eshmakis_Matraxi_1907_N11.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%94%E1%83%A8%E1%83%9B%E1%83%90%E1%83%99%E1%83%98%E1%83%A1+%E1%83%9B%E1%83%90%E1%83%97%E1%83%A0%E1%83%90%E1%83%AE%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1907&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ეშმაკის მათრახი,შეხვედრა : (სცენა მოხევეთა ცხოვრებიდან). გერგეტელი კობაი და სტეფანწმინდელი თორდაი შეხვდებიან ერთმანეთს,"[ღუდუშაური, ნიკიფორე]",1907,N11,გვ.8,"",368071,დიალოგი რეაქციაზე,ხევი.,რეაქცია.,,,,,,
