web-scraper-order,web-scraper-start-url,pagination,pagination-href,publication,title,author,year,issue number,page number,description,MFN,ანოტაცია,გეოგ დასახელება,თემატიკა,მოხსენიებული პირები,ორგანიზაცია,პერსონალია,საკვანძო სიტყვები,ფოტოები,მატიანის რუბრიკა
1524727424-64,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1994&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"ქართული მევენახეობის პატრიარქი : [აკადემიკოს სოლომონ ჩოლოყაშვილის დაბადებიდან 110 წლისთავის გამო. მისი ბიოგრაფია და მოღვაწეობა] / ნოდარ ჩხარტიშვილი, რევაზ რამიშვილი","ჩხარტიშვილი, ნოდარ",1994,N1,გვ.58-62,"ქართული მევენახეობის პატრიარქი : [აკადემიკოს სოლომონ ჩოლოყაშვილის დაბადებიდან 110 წლისთავის გამო. მისი ბიოგრაფია და მოღვაწეობა] / ნოდარ ჩხარტიშვილი, რევაზ რამიშვილი // ვაზი და ღვინო. - თბილისი, 1994. - N1-2. - გვ.58-62[MFN: 300378]",300378,,,,,,  ჩოლოყაშვილი სოლომონ (აკადემიკოსი).,,,  სოფლის მეურნეობა; საქართველო; მევენახეობა; ქართველი მეღვინეები.
1524727424-61,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1994&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,ქვეყანა ვენახოვანი: : [კახეთში მევენახეობის განვითარების შესახებ] / რ. რამიშვილი,"რამიშვილი, რ.",1994,N1,გვ.12-27,"ქვეყანა ვენახოვანი: : [კახეთში მევენახეობის განვითარების შესახებ] / რ. რამიშვილი // ვაზი და ღვინო. - თბილისი, 1994. - N1-2. - გვ.12-27[MFN: 300364]",300364,,,,,,,,,  სოფლის მეურნეობა; ტყის მეურნეობა; სოფლის მეურნეობის წარმოების სისტემა; მევენახეობა.
1524727429-133,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"ქართული ღვინო : [ქართული ღვინის წარმოების ტრადიციული ტექნოლოგია; მისი ახლანდელი მდგომარეობა და ""სამტრესტის"" მიერ გამოშვებული პროდუქცია]","კანდელაკი, თამაზ",1992,N1,გვ.58-60,"ქართული ღვინო : [ქართული ღვინის წარმოების ტრადიციული ტექნოლოგია; მისი ახლანდელი მდგომარეობა და ""სამტრესტის"" მიერ გამოშვებული პროდუქცია] // ვაზი და ღვინო. - თბილისი, 1992. - N1. - გვ.58-60[MFN: 342842]",342842,,,,,,,,,  საქართველო; მევენახეობა-მეღვინეობის საზოგადოებები; კონგრესები; გამოფენები.
1524727416-1,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1999&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"კახური ტიპის ღვინის ფენოლმჟავების წარმოქმნის შესახებ : [კახური ტიპის ღვინის დამზადების ტექნოლოგია. ფენოლმჟავების წარმოქმნის კზები კახური ტიპის ღვინომასალაში] / რუსუდან ნუცუბიძე, მარინე ბეჟუაშვილი","ნუცუბიძე, რუსუდან",1999,N1,გვ.36-41,"კახური ტიპის ღვინის ფენოლმჟავების წარმოქმნის შესახებ : [კახური ტიპის ღვინის დამზადების ტექნოლოგია. ფენოლმჟავების წარმოქმნის კზები კახური ტიპის ღვინომასალაში] / რუსუდან ნუცუბიძე, მარინე ბეჟუაშვილი // ვაზი და ღვინო. - თბილისი, 1999. - N1. - გვ.36-41. - რეზ. რუს. და ინგლ. ენ.[MFN: 342576]",342576,,,,,,,,,  საქართველო; მეღვინეობა.
1524727424-67,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1994&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"ამერიკული საძირე ჯიშების ადოპტაციის გამოსარკვევად: : [მოხსენება სრულიად საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭოს გამოქვეყნებულ 1920წ. გამომავალ ჟურნალ ""ვაზი და ღვინოში"", N5. კომენტარი რ. რამიშვილის და ო. ჩხატარაშვილის] / გ. წინამძღვრიშვილის","წინამძღვრიშვილი, გ.",1920,N5,გვ.41-48,"ამერიკული საძირე ჯიშების ადოპტაციის გამოსარკვევად: : [მოხსენება სრულიად საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭოს გამოქვეყნებულ 1920წ. გამომავალ ჟურნალ ""ვაზი და ღვინოში"", N5. კომენტარი რ. რამიშვილის და ო. ჩხატარაშვილის] / გ. წინამძღვრიშვილის // ვაზი და ღვინო. - თბილისი, 1994. - N1-2. - გვ.41-48[MFN: 300394]",300394,,,,,,,,,  სოფლის მეურნეობა; ტყის მეურნეობა; სოფლის მეურნეობის წარმოების სისტემა; მევენახეობა.
1524727421-44,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1995&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"ღვაწლი განუზომელი : [ივ. ჯავახიშვილის ნაშრომზე ""საქართველოს ეკონომიკური ისტორიის"" II ტომში მევენახეობა-მეღვინეობაზე] / რამინ რამიშვილი","რამიშვილი, რამინ",1995,N1,გვ.59-63,"ღვაწლი განუზომელი : [ივ. ჯავახიშვილის ნაშრომზე ""საქართველოს ეკონომიკური ისტორიის"" II ტომში მევენახეობა-მეღვინეობაზე] / რამინ რამიშვილი // ვაზი და ღვინო. - თბილისი, 1995. - N1-2. - გვ.59-63[MFN: 301766]",301766,,,,,,,,,  საისტორიო მეცნიერებანი; საქართველო; მევენახეობა.
1524727429-128,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,საფერავი : [ქართული ვაზის ჯიშის საფერავის სტატისტიკური მონაცემები] / რევაზ რამიშვილი,"რამიშვილი, რევაზ",1992,N1,გვ.50,"საფერავი : [ქართული ვაზის ჯიშის საფერავის სტატისტიკური მონაცემები] / რევაზ რამიშვილი // ვაზი და ღვინო. - თბილისი, 1992. - N1. - გვ.50[MFN: 340051]",340051,,,,,,,,,  საქართველო; ამპელოგრაფია.
1524727419-32,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1996&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,ემილ ჩაფიძე : [მეღვინის ცხოვრება და მოღვაწეობა],,1996,N1,გვ.80-81,"ემილ ჩაფიძე : [მეღვინის ცხოვრება და მოღვაწეობა] // ვაზი და ღვინო. - თბილისი, 1996. - N1-4. - გვ.80-81[MFN: 343029]",343029,,,,,,  ჩაფიძე ემილ (მეღვინე).,,,  საქართველო; მეღვინეები.
1524727439-256,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,1,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&pft=biblio&from=1&rnum=50&sf=advanced&qs=a%3A6%3A%7Bi%3A0%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22700%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A1%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22200%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A2%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229801%22%3Bs%3A1%3A%22q%22%3Bs%3A35%3A%22%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A3%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229802%22%3Bs%3A1%3A%22q%22%3Bs%3A4%3A%221920%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A4%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22600%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A5%3Ba%3A2%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22606%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3B%7D%7D,ვაზი და ღვინო,შეკითხვა-პასუხი,"შალამბერიძე, მიხ.",1920,N3,გვ.12-14,"შეკითხვა-პასუხი // ვაზი და ღვინო. - თბილისი, 1920. - N3. - გვ.12-14. - კითხვას ხელს აწერს კარდენახელი.[MFN: 428481]",428481,  ღვინის დამწარებისა და მისი თავიდან აცილების შესახებ,,  სოფლის მეურნეობა; ალკოჰოლური სასმელები.,,,,  ღვინის დამწარება.,,
1524727429-139,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"არაყი ""ერისთავი"" : [არაყ ""ერისთავის"" ისტორია]","კალანდაძე, ბონდო",1992,N2,გვ.72-73,"არაყი ""ერისთავი"" : [არაყ ""ერისთავის"" ისტორია] // ვაზი და ღვინო. - თბილისი, 1992. - N2. - გვ.72-73[MFN: 343186]",343186,,,,,,,,,  საქართველო; არაყი; კონიაკი.
