web-scraper-order,web-scraper-start-url,title,issue number,date,year,publisher,desc,owner,collection,pdf link,pdf link-href
1524733309-154,http://dspace.nplg.gov.ge/handle/1234/172997,ვაზი და ღვინო N2,N2,1-Mar-1920,1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_1920_N2.pdf,http://dspace.nplg.gov.ge/bitstream/1234/172997/1/Vazi_Da_Gvino_1920_N2.pdf
1524733286-143,http://dspace.nplg.gov.ge/handle/1234/256948,ვაზი და ღვინო N1-2 (14-15),N!,1993,1993,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_1993_N1-2.pdf,http://dspace.nplg.gov.ge/bitstream/1234/256948/1/Vazi_Da_Gvino_1993_N1-2.pdf
1524733282-141,http://dspace.nplg.gov.ge/handle/1234/257632,ვაზი და ღვინო N3 (20),N3,1995,1995,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი. კრებული ეძღვნება ქართული ბრენდის (კონიაკის) 130 წლისთავს,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_1995_N3.pdf,http://dspace.nplg.gov.ge/bitstream/1234/257632/1/Vazi_Da_Gvino_1995_N3.pdf
1524733297-148,http://dspace.nplg.gov.ge/handle/1234/173034,ვაზი და ღვინო N8,N8,15-Jun-1920,1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_N8.pdf,http://dspace.nplg.gov.ge/bitstream/1234/173034/1/Vazi_Da_Gvino_N8.pdf
1524733289-144,http://dspace.nplg.gov.ge/handle/1234/254034,ვაზი და ღვინო N1 (12),N1,1992,1992,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_1992_N1.pdf,http://dspace.nplg.gov.ge/bitstream/1234/254034/1/Vazi_Da_Gvino_1992_N1.pdf
1524733299-149,http://dspace.nplg.gov.ge/handle/1234/173033,ვაზი და ღვინო N7,N7,15-May-1920,1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_N7.pdf,http://dspace.nplg.gov.ge/bitstream/1234/173033/1/Vazi_Da_Gvino_N7.pdf
1524733280-140,http://dspace.nplg.gov.ge/handle/1234/260002,ვაზი და ღვინო N1-4 (20-23),N1,1996,1996,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_1996_N1-4.pdf,http://dspace.nplg.gov.ge/bitstream/1234/260002/1/Vazi_Da_Gvino_1996_N1-4.pdf
1524733295-147,http://dspace.nplg.gov.ge/handle/1234/173014,ვაზი და ღვინო N9,N9,15-Jul-1920,1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_1920_N9.pdf,http://dspace.nplg.gov.ge/bitstream/1234/173014/1/Vazi_Da_Gvino_1920_N9.pdf
1524733293-146,http://dspace.nplg.gov.ge/handle/1234/173017,ვაზი და ღვინო N10,N10,Nov-1920,1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_1920_N10.pdf,http://dspace.nplg.gov.ge/bitstream/1234/173017/1/Vazi_Da_Gvino_1920_N10.pdf
1524733303-151,http://dspace.nplg.gov.ge/handle/1234/173028,ვაზი და ღვინო N5,N5,15-Apr-1920,1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,Vazi_Da_Gvino_N5.pdf,http://dspace.nplg.gov.ge/bitstream/1234/173028/1/Vazi_Da_Gvino_N5.pdf
