issue url,issue title,issue number,issue date,issue publisher,issue description,issue owner,issue collection,issue pdf url,article url,article publication,article title,article authors,article year,article issue number,article page number,article description,article MFN,article ანოტაცია,article გეოგ დასახელება,article თემატიკა,article მოხსენიებული პირები,article ორგანიზაცია,article პერსონალია,article საკვანძო სიტყვები,article ფოტოები,article მატიანის რუბრიკა
http://dspace.nplg.gov.ge/handle/1234/257631,ვაზი და ღვინო N1-2 (16-17),N1,1994,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_1994_N1-2.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1994&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,"ქართული მევენახეობის პატრიარქი : [აკადემიკოს სოლომონ ჩოლოყაშვილის დაბადებიდან 110 წლისთავის გამო. მისი ბიოგრაფია და მოღვაწეობა] / ნოდარ ჩხარტიშვილი, რევაზ რამიშვილი","ჩხარტიშვილი, ნოდარ",1994,N1,გვ.58-62,"",300378,,,,,,  ჩოლოყაშვილი სოლომონ (აკადემიკოსი).,,,  სოფლის მეურნეობა; საქართველო; მევენახეობა; ქართველი მეღვინეები.
http://dspace.nplg.gov.ge/handle/1234/257631,ვაზი და ღვინო N1-2 (16-17),N1,1994,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_1994_N1-2.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1994&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,ქვეყანა ვენახოვანი: : [კახეთში მევენახეობის განვითარების შესახებ] / რ. რამიშვილი,"რამიშვილი, რ.",1994,N1,გვ.12-27,"",300364,,,,,,,,,  სოფლის მეურნეობა; ტყის მეურნეობა; სოფლის მეურნეობის წარმოების სისტემა; მევენახეობა.
http://dspace.nplg.gov.ge/handle/1234/254034,ვაზი და ღვინო N1 (12),N1,1992,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_1992_N1.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,"ქართული ღვინო : [ქართული ღვინის წარმოების ტრადიციული ტექნოლოგია; მისი ახლანდელი მდგომარეობა და ""სამტრესტის"" მიერ გამოშვებული პროდუქცია]","კანდელაკი, თამაზ",1992,N1,გვ.58-60,"",342842,,,,,,,,,  საქართველო; მევენახეობა-მეღვინეობის საზოგადოებები; კონგრესები; გამოფენები.
http://dspace.nplg.gov.ge/handle/1234/262291,ვაზი და ღვინო N1 (24),N1,1999,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_1999_N1.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1999&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,"კახური ტიპის ღვინის ფენოლმჟავების წარმოქმნის შესახებ : [კახური ტიპის ღვინის დამზადების ტექნოლოგია. ფენოლმჟავების წარმოქმნის კზები კახური ტიპის ღვინომასალაში] / რუსუდან ნუცუბიძე, მარინე ბეჟუაშვილი","ნუცუბიძე, რუსუდან",1999,N1,გვ.36-41,რეზ. რუს. და ინგლ. ენ.,342576,,,,,,,,,  საქართველო; მეღვინეობა.
http://dspace.nplg.gov.ge/handle/1234/173028,ვაზი და ღვინო N5,N5,15-Apr-1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_N5.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1994&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,"ამერიკული საძირე ჯიშების ადოპტაციის გამოსარკვევად: : [მოხსენება სრულიად საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭოს გამოქვეყნებულ 1920წ. გამომავალ ჟურნალ ""ვაზი და ღვინოში"", N5. კომენტარი რ. რამიშვილის და ო. ჩხატარაშვილის] / გ. წინამძღვრიშვილის","წინამძღვრიშვილი, გ.",1920,N5,გვ.41-48,"",300394,,,,,,,,,  სოფლის მეურნეობა; ტყის მეურნეობა; სოფლის მეურნეობის წარმოების სისტემა; მევენახეობა.
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1995&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,"ღვაწლი განუზომელი : [ივ. ჯავახიშვილის ნაშრომზე ""საქართველოს ეკონომიკური ისტორიის"" II ტომში მევენახეობა-მეღვინეობაზე] / რამინ რამიშვილი","რამიშვილი, რამინ",1995,N1,გვ.59-63,"",301766,,,,,,,,,  საისტორიო მეცნიერებანი; საქართველო; მევენახეობა.
http://dspace.nplg.gov.ge/handle/1234/254034,ვაზი და ღვინო N1 (12),N1,1992,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_1992_N1.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,საფერავი : [ქართული ვაზის ჯიშის საფერავის სტატისტიკური მონაცემები] / რევაზ რამიშვილი,"რამიშვილი, რევაზ",1992,N1,გვ.50,"",340051,,,,,,,,,  საქართველო; ამპელოგრაფია.
http://dspace.nplg.gov.ge/handle/1234/260002,ვაზი და ღვინო N1-4 (20-23),N1,1996,თბილისი,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_1996_N1-4.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1996&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,ემილ ჩაფიძე : [მეღვინის ცხოვრება და მოღვაწეობა],,1996,N1,გვ.80-81,"",343029,,,,,,  ჩაფიძე ემილ (მეღვინე).,,,  საქართველო; მეღვინეები.
http://dspace.nplg.gov.ge/handle/1234/172999,ვაზი და ღვინო N3,N3,15-Mar-1920,თბილისი : ქართული ბეჭდვითი ახალგაზრდობა,საქართველოს მევენახეთა და მეღვინეთა კავშირის სამეცნიერო-პოპულარული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ვაზი და ღვინო,https://press.vizhack.ge/pdfs/Vazi_Da_Gvino_1920_N3.pdf,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,შეკითხვა-პასუხი,"შალამბერიძე, მიხ.",1920,N3,გვ.12-14,კითხვას ხელს აწერს კარდენახელი.,428481,  ღვინის დამწარებისა და მისი თავიდან აცილების შესახებ,,  სოფლის მეურნეობა; ალკოჰოლური სასმელები.,,,,  ღვინის დამწარება.,,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,ვაზი და ღვინო,"არაყი ""ერისთავი"" : [არაყ ""ერისთავის"" ისტორია]","კალანდაძე, ბონდო",1992,N2,გვ.72-73,"",343186,,,,,,,,,  საქართველო; არაყი; კონიაკი.
