issue url,issue title,issue number,issue date,issue publisher,issue description,issue owner,issue collection,issue pdf url,article url,article publication,article title,article authors,article year,article issue number,article page number,article description,article MFN,article ანოტაცია,article გეოგ დასახელება,article თემატიკა,article მოხსენიებული პირები,article ორგანიზაცია,article პერსონალია,article საკვანძო სიტყვები,article ფოტოები,article მატიანის რუბრიკა
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,ძმათა სასაფლაო : ხაშურის სახალხო გვარდიელები: დახოცილნი შულავერში 1918 წ. 26 დეკემბერს. ივანე პავლეს ძე ნეველიძე [ფოტო],,1918,N3,გვ.8,"",432979,,,ფოტოხელოვნება; სახალხო გვარდიელები.,,,ნეველიძე ივანე (სახალხო გვარდიელი).,სურათი.,ივანე პავლეს ძე ნეველიძე,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,1920-1921,"სალუქვაძე, ანანია",1920,N2,გვ.4-6,"",432942,1920 წელს მომხდარი მნიშვნელოვანი მოვლენების მოკლე მიმოხილვა,,საერთაშორისო პოლიტიკა.,,,,,,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,"პაპო ამირაშვილი : მუხრანის რაიონის გვარდიელი, ახალციხის ფრონტზე დაღუპული [ფოტო]",,1920,N4,გვ.14,"",433053,,,ფოტოხელოვნება; სახალხო გვარდიელები.,,,ამირაშვილი პაპო (სახალხო გვარდიელი).,სურათი.,პაპო ამირაშვილი,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,დეპეშა ფრონტიდან : დამფუძნებელ კრებას. ასლი მთავრობასა და სახალხო გვარდიის მთავარ შტაბს,,1920,N3,გვ.15,"ტექსტის ბოლოს: დამფუძნებელი კრების წევრები: ვარდოიანცი, ჩხეიძე, შევჩუკი, კოვალიოვი.",433000,სახალხო გვარდიელების საბრძოლო სულისკვეთება,ვარანცოვკა.,საქართველოს დემოკრატიული რესპუბლიკა; დამფუძნებელი კრება; სამხედრო საქმე.,,,,სახალხო გვარდია.,,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,ყარაიზი გვარდიელები ხნავენ : [ფოტო],,1920,N2,გვ.8,"",432948,,,ფოტოხელოვნება; გვარდიელები.,,,,სურათი.,,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,ძმათა სასაფლაო : ორთაჭალის რაიონის სახალხო გვარდიელები დახოცილნი სხვა და სხვა ფრონტზე. ნიკოლოზ არჩვაძე [ფოტო],,1920,N4,გვ.8,"",433039,,,ფოტოხელოვნება; სახალხო გვარდია.,,,არჩვაძე ნიკოლოზ (სახალხო გვარდიელი).,სურათი.,ნიკოლოზ არჩვაძე,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,"რკინის-გზის რაიონის გვარდიელები, გმირულათ დახოცილნი მტრებთან ბრძოლაში : გორგიშელი ვლადიმერ ბესარიონის ძე [ფოტო]",,1920,N5,გვ.9,"",433082,,,ფოტოხელოვნება; სახალხო გვარდიელები.,,,გორგიშელი ვლადიმერ (სახპლხო გვარდიელი).,სურათი.,ვლადიერ ბესარიონის ძე გორგიშელი,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,დიდებული მომავლის კართან,"გომართელი, ივ.",1920,N4,გვ.4-6,"",433012,საქართველოს დამოუკიდებლობის დაცვის შესახებ,,საქარტველოს დემოკრატიული რესპუბლიკა; პოლიტიკური პარტიები.,,,,ბილშევიკები.,,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,ძმათა სასაფლაო : ხაშურის სახალხო გვარდიელები: დახოცილნი შულავერში 1918 წ. 26 დეკემბერს. არჩილ შიოს ძე ჩუბინიძე [ფოტო],,1918,N3,გვ.8,"",432976,,,ფოტოხელოვნება; სახალხო გვარდიელები.,,,ჩუბინიძე არჩილ (სახალხო გვარდიელი).,სურათი.,არჩილ შიოს ძე ჩუბინიძე,
,,,,,,,,,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%A1%E1%83%90%E1%83%AE%E1%83%90%E1%83%9A%E1%83%AE%E1%83%9D+%E1%83%92%E1%83%95%E1%83%90%E1%83%A0%E1%83%93%E1%83%98%E1%83%94%E1%83%9A%E1%83%98&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,სახალხო გვარდიელი,"ძმათა სასაფლაო : ""ვოგზლის"" (ტრამვაის) რაიონის სახალხო გვარდიელები, დახოცილნი სხვა და სხვა ფრონტზე. მიხეილ ხარჩილავა [ფოტო]",,1920,N4,გვ.8,"",433027,,,ფოტოხელოვნება; სახალხო გვარდია.,,,ხარჩილავა მიხეილ (სახალხო გვარდიელი).,სურათი.,მიხეილ ხარჩილავა,
